Original Transcription,New transcription,Detected Intent,New Intent
مجھے کسی کو پیسے بھیجنے ہیں تو منی ٹرانسفر پہ جا کے نمبر پٹ کرتا ہوں اس کے بعد جیس کیش بینک ہے اس میں سینڈ کرنا ہے۔,مجھے کسی کو پیسے بھیجنے ہیں تو منی ٹرانسفر پہ جا کے نمبر پٹ کرتا ہوں اس کے بعد جیز کیش بینک ہے اس میں سینڈ کرنا ہے۔,send_money,send_money
آج میرے پاس کتنے پیسے ہیں؟,آج میرے پاس کتنے پیسے ہیں؟,unknown,unknown
آج میرے پاس,آج میرے پاس,unknown,unknown
شو مائی سٹیٹمنٹ,Show my statement.,download_statement,download_statement
Send one rupee.,Send one rupee,unknown,send_money
Show my account balance.,Show my account balance.,download_statement,unknown
میرا اکاؤنٹ کا بیلنس شو کریں۔,میرا اکاؤنٹ کا بیلنس شو کریں۔,download_statement,unknown
Send 290 rupees to Khan Samiullah Khan.,Send 290 rupees to Khan Samiullah Khan.,send_money,send_money
"Hello AI, how's you?","Hello AI, how's you?",unknown,unknown
"Hello, how's you?","Hello, how's you?",unknown,unknown
"If there is no speech in the audio, return empty text.",,mobile_topup,
سینڈ فائیو تھاؤزنڈ ٹو سات سلیم یو بی ایل اکاؤنٹ,Send 5000 to Saad Saleem UBL account.,send_money,send_money
پیمٹ سینٹ راس آئی ڈی,پیمنٹ سینڈ راس آئی ڈی.,unknown,send_money
سینڈ فائیو تھاؤزنڈ ٹو سعد سلیم,Send 5000 to Saad Saleem.,send_money,send_money
حمید,حمید,unknown,unknown
حامد,Hameed,unknown,unknown
"Hello, how much my balance?","Hello, how much my balance?",unknown,unknown
مجھے میرا بیلنس بتاؤ کتنا ہے؟,مجھے میرا بیلنس بتاؤ کتنا ہے?,unknown,unknown
فراض کو دس روپے بھیج دو۔,فراز کو دس روپے بھیج دو.,send_money,send_money
میرے اکاؤنٹ میں ابھی کتنے پیسے پڑے ہیں؟,میرے اکاؤنٹ میں ابھی کتنے پیسے پڑے ہیں?,unknown,unknown
ایک روپے محمد فراز کو بیج دو,ایک روپیز محمد فراز کو بیج دو.,send_money,send_money
One rupee.,One rupee.,unknown,unknown
ٹرانسفر فائیو ہنڈریڈ روپیز ٹو غلام عباس ایزی پیسہ اکاؤنٹ زیرو تھری فور فائیو,Transfer 500 rupees to Ghulam Abbas EasyPaisa account 0345.,send_money,send_money
ہلو,حلو.,unknown,unknown
Transfer five hundred to Ghulam Abbas.,Transfer 500 to Ghulam Abbas.,send_money,send_money
ہائے یو بی ایل، ٹرانسفر ون تھاؤزنڈ روپیز ٹو ہنزلا اسلم,"Hi UBL, transfer 1000 rupees to Hunzala Aslam.",send_money,send_money
Send one rupees to Anzala Aslam.,Send 1 rupees to Andlaslam.,send_money,send_money
Send one thousand rupees to Anzla Aslam.,Send 1000 rupees to Anzala Aslam.,send_money,send_money
Send ten thousand to Bahadur Khan.,Send 10000 to Bahadur Khan.,send_money,send_money
ہائے جی ڈبلیو۔,Hi GWM,unknown,unknown
Transfer,Transfer,unknown,send_money
"Hi UBL, transfer one thousand rupees to Anzlaslam.","Hi UBL, transfer 1000 rupees to Anzlaslam.",send_money,send_money
Send 300 to Hassan Waseem Mizan Bank.,Send 300 to Hassan Wasim Meezan Bank.,send_money,send_money
سینتھری ہنڈریڈ ٹو حسن وسیم میزان بینک,Send 300 to Hassan Wasi Meezan Bank.,send_money,send_money
Send three thousand to Uzair Uzair in my pay.,Send 3000 to Uzair Uzair in Mypais.,send_money,send_money
Send two rupees to Salman.,Send two rupees to Salman.,send_money,send_money
آن لائن ٹرانزیکشن,Online transaction,unknown,unknown
مریم تمہیں,Please send me,unknown,unknown
Please show me my balance.,Please show me my balance.,mobile_topup,unknown
Show me my balance.,Show me my balance.,unknown,unknown
Send one rupees to Fahad Hassan.,Send 1 rupees to Fahad Hassan.,send_money,send_money
ہیلو۔,Hello.,unknown,unknown
Payment please.,Payment please.,pay_bill,unknown
بل۔,بل,pay_bill,unknown
PK35MIZN009882105124702,PK35 MZN0098882105124702,send_money,unknown
Send money to Muhammad Marij Khan on JazzCash.,Send money to Muhammad Marij Khan on JazzCash.,send_money,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,,send_money,
"Hello, send money to Farooq Ahmad.",Hello send money to Farkia Ahmed.,send_money,send_money
Send to Ibrarullah EasyPaisa account.,Send to Ibrar the Easypaisa account one rupee.,send_money,send_money
Send to Kashifullah one rupee.,Send to Kashifullah one rupee.,send_money,send_money
میری ایزی پیسہ اکاؤنٹ میں اس اڑھ سو روپے سینڈ کر لو۔,میری ایزی پیسہ اکاؤنٹ میں سو روپے سینڈ کرلو.,mobile_topup,send_money
پیسے جا رہے ہیں,کیا کر رہی?,unknown,unknown
میری ایزی پیسہ میں ایک روپیہ سینڈ کر لو۔,میری ایزی پیسہ میں ایک روپیہ سینڈ کرلو.,mobile_topup,send_money
چیک بیلنس,چیک بیلنس.,unknown,unknown
Hello,Hello,unknown,unknown
ہیلو، السلام علیکم,"Hello, السلام علیکم",unknown,unknown
ٹرانسفر ٹین تھاؤزنڈ ٹو ہنڈللاسلم,"Transfer 10,000 to Aslam.",send_money,send_money
Transfer ten thousand to,Transfer 10000 to,send_money,send_money
السلام علیکم، I have made transaction 15000 rupees on my other account but I don't receive any amount.,سلام علیکم، I have made transaction 15000 rupees on my other account.,send_money,unknown
Sent 1700 to Muhammad Awais via RASTA.,Send 1700 to Muhammad Awais via RAAST.,send_money,send_money
پانچ سو روپے سینڈ کر دو رحمان تصور نیا پے,پانچ سو روپے سینڈ کر دو رحمان تصور نیا پے.,send_money,send_money
Please send 500 rupees to Rehman Sabar Nia.,Please send 500 rupees to Rehman server.,send_money,send_money
Hey UBL transfer ten thousand rupees to Suleman Shafqat.,"Hey UBL transfer 10,000 rupees to Suleman Shafqat.",send_money,send_money
Send 1700 to Muhammad Abbas.,Send 1700 to Muhammad Abbas.,send_money,send_money
UBL transfer one rupees to film onchofkad.,UBL transfer one rupees to Salman Shafqat.,send_money,send_money
Send one rupee to Shazia Umar.,Send one rupee to Shazia Umar.,send_money,send_money
پلیز,Please,unknown,unknown
Send Ibtisam Ibrahim thousand rupees in JazzCash.,Send Ibtisham Ibrahim 1000 rupees in JazzCash.,send_money,send_money
منصور احمد کے لیے لوڈ کرو سو روپے کا۔,منصور احمد کے لیے لوڈ کرو سو روپے کا۔,mobile_topup,topup
محمد حما صفی اکاؤنٹ۔,محمد حما صفی اکاؤنٹ پلیز.,unknown,unknown
"If there is no speech in the audio, return empty text.",حبیب,mobile_topup,unknown
محمد مقصود احمد۔,محمد مقصود احمد.,unknown,unknown
راتوں آئی ہے نا۔ کل آئی ہے۔,رات آئی ہے نا.,unknown,unknown
Send sixteen thousand rupees to Muhammad Bilal UBL.,Send 16000 rupees to Muhammad Bilal UBL.,send_money,send_money
Send forty thousand rupees to Hamza Fasial Bank Al Habib.,"Send 40,000 rupees to Hamza Faisal Bank Al Habib.",send_money,send_money
اس میل کو ایک ہزار روپیہ بھیج دو.,اسماعیل کو ایک ہزار روپیہ بھیج دیں۔,send_money,send_money
اس میل کو ایک ہزار روپیہ بیج دو۔,اسماعیل کو ایک ہزار روپیہ بھیج دو۔,send_money,send_money
اس میل کو دس ہزار روپیہ بیج دو۔,اسماعیل کو دس ہزار روپیہ بھیج دو.,send_money,send_money
السلام علیکم، 10 جنوری 2026 سٹیٹمنٹ,السلام علیکم، 10 جنوری 2026 سٹیٹمنٹ.,download_statement,download_statement
اسماعیل کو ایک ہزار روپیہ بھیج دو۔,اسماعیل کو ایک ہزار روپیہ بھیج دو.,send_money,send_money
زنگ نمبر کو ایک سو روپے بیچ دوں۔,زونگ نمبر کو ایک سو روپیہ بھیج دو.,send_money,topup
Send money to Mazhar Ali.,Send money to Moazzam Ali.,send_money,send_money
پیسے بھیجنے۔,,send_money,
Transfer to my Mizan account.,Transfer to my Meezan account.,send_money,send_money
مجھے ایک جمار کو ہزار روپے سینڈ کرنا ہے۔,مدک جمال کو ہزار روپیہ سینڈ کرنا ہے اس کو ہزار روپیہ سینڈ کریں.,send_money,send_money
"Hello, kindly transaction the 2000 PKR Muhammad Furqan Bashir Moblink account.","Hello, kindly transaction the 2000 PKR Muhammad Furqan Bashir Moblink account.",download_statement,send_money
سن ففٹین تھاؤزنڈ ٹو محمد واصف,Send 15000 to Muhammad Wasif.,send_money,send_money
Send one rupees to Saqib Gul in my pay.,Send 1 rupees to Saqib Gul in my pie.,send_money,send_money
I need to transfer money to someone.,I need to transfer money to someone.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
پیسے کیسے سینڈ کرتے ہیں؟,پیسے کیسے سینڈ کرتے ہیں?,unknown,send_money
History,History,unknown,download_statement
موبائل پیمنٹ,موبائل پیمنٹ,unknown,topup
Send money to a Scribe bank account.,Send money to Askari Bank account.,send_money,send_money
دس ہزار روپے سینڈ کرو۔,دس ہزار روپے سینڈ کرو.,send_money,send_money
Send fifty rupees to Muhammad Haris Hayat.,Send 50 rupees to Muhammad Haris Hayat.,send_money,send_money
مجھے میرا بیلنس بتائیں کتنا ہے۔,مجھے میرا بیلنس بتائیں کتنا ہے۔,mobile_topup,unknown
Hello,Hello,unknown,unknown
ہوم کا بل بھر دو۔,ہوم کا بل بھر دو۔,pay_bill,pay_bill
Transfer hundred rupees to Mashal Moiz.,Transfer 100 rupees to Mashal Moiz.,send_money,send_money
پہلے سامنے پیج۔,بیس ہزار حمید کو سینڈ کرو۔,unknown,send_money
"If there is no speech in the audio, return empty text.",,mobile_topup,
Send fifteen hundred to Gohar Ahmed Alaid.,Send 1500 to Gauhar Ahmed Allied.,send_money,send_money
میں نے انٹرنیشنل ٹرانزیکشن کی ہے میرے اکاؤنٹ میں ریسیو نہیں ہوئی ابھی تک۔,میں نے انٹرنیشنل ٹرانزیکشن کی ہے میرا اکاؤنٹ میں ریسیو نہیں ہوئی ابھی تک۔,download_statement,unknown
"Hi dear, open account.","Hi there, open account.",unknown,unknown
پے فائیو تھاؤزنڈ تو تسلیم,Pay five thousand to Tasleem.,unknown,send_money
Hello,Hello,unknown,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
مکمل۔,کمال۔,unknown,unknown
اچھا مجھے حماد کو پانچ سو بھیجنے ہیں اور چھے سو بھیجنے ہیں اور دو سو بھیجنے ہیں۔ ٹھیک ہے، اور اس کو ڈیوائڈ کرنا ہے پانچ سے۔ تو کتنے بنتے ہیں؟ یہ بھیج دو ان کو۔,اچھا مجھے حماد کو پانچ سو بھیجنا ہے اور چھ سو بھیجنا ہے اور دو سو بھیجنا ہے۔ ٹھیک ہے اور اس کو ڈیوائیڈ کرنا ہے پانچ سے۔ تو کتنے بنتے ہیں؟ یہ بھیج دو ان کو۔,send_money,send_money
Send money to,Send money to,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
Kindly transfer rupee one to Imran Hussain JazzCash.,Kindly transfer rupee 1 to Imran Hussain JazzCash.,send_money,send_money
Total balance in my account,Total balance in my account.,download_statement,unknown
"Send 250 rupees to Hamza, Alfalah Bank.","Send 250 rupees to Hamza, Al Falah Bank.",send_money,send_money
Can I check my balance?,Can I check my balance?,unknown,unknown
گیملا پانچورلا فالا,گیملا پانچ سو لے آؤ.,unknown,unknown
سینڈ پانچ ہزار اختر اکاؤنٹ,سینڈ پانچ ہزار اختر اکاؤنٹ.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
I send money to Ayesha Javed.,I send money to Ayesha Javed.,send_money,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپ، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,Empty text,send_money,unknown
میرا اکاؤنٹ کی اسٹیٹمنٹ چیک کر کے بتائے۔,میرا اکاؤنٹ کی سٹیٹمنٹ چیک کر کے بتائیں۔,download_statement,download_statement
I want to send thousand rupees to Saheba.,I want to send 1000 rupees to Sahiba.,send_money,send_money
Show me my statement.,Show me my statement.,download_statement,download_statement
کیا حال ہے؟,کیا حال ہے?,unknown,unknown
"If there is no speech in the audio, return empty text.",حسنین کو پانچ ہزار روپے بھیج دیں۔,mobile_topup,send_money
بسم اللہ الرحمن الرحیم,,unknown,
ایک روپیہ حسن امجد الفلا نمبر پر سینڈ کرو۔,ایک روپیہ حسن امجد الفلاح نمبر پر سینڈ کرو۔,mobile_topup,send_money
ایک لاکھ پچاس ہزار,150000,send_money,unknown
How I can send money to Pakistan from Europe?,How I can send money to Pakistan from Europe?,send_money,send_money
بیلنس، شو بیلنس,"بیلنس, شو بیلنس.",unknown,unknown
Send money to Abdullah.,Send money to Abdullah.,send_money,send_money
گیس کیش,جیز کیش.,unknown,unknown
کیا آپ بیلنس شو کر سکتے ہیں؟ دکھائیے۔,کیا آپ بیلنس شو کر سکتے ہیں؟ دکھائیے۔,unknown,unknown
ٹرانسفر بائے بل پیمنٹ آف کے الیکٹرک,ٹرانسفر بائے بل پیمنٹ آف کے الیکٹرک.,pay_bill,pay_bill
بنگلہ,بنگے,unknown,unknown
Send seventy rupees to Muhammad Huzaifa.,Send 70 rupees to Muhammad Huzaifa.,send_money,send_money
750 rupees to Rashi.,Send 50 rupees to Rashid Ahmed.,send_money,send_money
خالد علی کے اکاؤنٹ میں جاز کیش کے اکاؤنٹ میں ایک روپیہ سینڈ کر دو فوراً,خالد علی کے اکاؤنٹ میں جیز کیش کے اکاؤنٹ میں ایک روپیہ سینڈ کر دو فوراً۔,send_money,send_money
اسداللہ,اسد اللہ.,unknown,unknown
پیسے بھیجنے ہیں مصبا کو,پیسے بھیجنے ہیں مصباح کو.,send_money,send_money
میں ایشور کو پیسے بھیجنا چاہتا ہوں۔,میں ایشور کو پیسے بھیجنا چاہتا ہوں۔,send_money,send_money
Transfer top-up,Transfer top up.,mobile_topup,unknown
مظمل زفر,مظمل ظفر مظمل ظفر,unknown,unknown
اس کو,اس کو,unknown,unknown
Send five lakhs to Haris Khan.,Send five lakhs to Haris Khan.,send_money,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
میرا کوڈ ہے کتنا پیسے ہوئے؟,میرے اکاؤنٹ میں کتنے پیسے ہیں؟,unknown,unknown
منی ٹرانسفر,منی ٹرانسفر,unknown,send_money
ٹرانسفر ون تھاؤزنڈ ٹو محمد عثمان,Transfer 1000 to Muhammad Usman.,send_money,send_money
میاں احمد کو پانچ ہزار سینڈ کریں۔,میاں احمد کو 5000 سینڈ کریں۔,send_money,send_money
کمر فاروق,کمال فاروق,unknown,unknown
2000 روپے عمر فیصل بینک,Send 2000 rupees to Umar Faisal Bank.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
زونگ مائی تھری پیکج,Zong my3 پیکج.,unknown,topup
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
نیوبے۔ سرچ فر حامد۔,Search for Hammad.,unknown,unknown
آپ ان پیسوں دیکھ سکتے ہیں,کیا تم پیسے بھیج سکتے ہیں?,unknown,send_money
تراسو ٹو فائی تھاؤزن یاسین,Transfer to 5000 Yaseen.,send_money,send_money
سینٹو ٹین روپے سو ویس کوجر,Send 10 rupees to Wase Gujjar.,send_money,send_money
سکس منتھ اولڈ سٹریٹمنٹ ڈاؤن لوڈ,6 month old statement download.,download_statement,download_statement
Send one rupees to Muhammad Abu Bakr.,Send one rupees to Muhammad Abu Bakar.,send_money,send_money
سینڈ فائیو ہنڈرڈ تو زکلاں مرزا جیش کیش اکاؤنٹ,Send 500 to Saklain Mirza JazzCash account.,send_money,send_money
ایک روپے ٹرانسفر کر دیں۔,ایک روپیہ ٹرانسفر کر دیں.,send_money,send_money
امبرین جانی کو,امبرین جانی کو,unknown,unknown
اکبر سلیم خٹک,اکبر سلیم خٹک.,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",Empty,mobile_topup,unknown
فنٹرانسفر,Fund transfer.,unknown,send_money
Packages,Packages,unknown,unknown
چین میرا موبائل نمبر,Change my mobile number.,unknown,unknown
Send 500 to Muhammad Danish.,Send 500 to Muhammad Danish.,send_money,send_money
پلیز سینڈ کر دو پیسے حمزہ سوہل کو نئے بینک اکاؤنٹ میں دس روپے.,پلیز سینڈ کر دو پیسے حمزہ سہیل کو نئے اکاؤنٹ میں دس روپے.,send_money,send_money
پانچ ہزار روپے سید تبریز علی الہبی پین میں بھیجو۔,پانچ ہزار روپے سید تبریز علی الہبی بینک میں بھیجو۔,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",حسنین کو پانچ ہزار روپے بھیج دیں.,pay_bill,send_money
UBL create a new pay on jazzcash.,UBL create a new pie on JazzCash.,pay_bill,unknown
چودھری نوید ازرم کو پچاس ہزار بھیج دیں۔,چوہدری نوید اعظم کو پچاس ہزار بھیج دیں۔,send_money,send_money
بورڈا پیپر.,Transfer the payment.,unknown,send_money
Send,Send,unknown,send_money
ایک روپے بھیجو ہیڈ آفس کے اکاؤنٹ پر۔,ایک روپے بھیجو ہیڈ آفس کے اکاؤنٹ پر۔,send_money,send_money
ندا عظیمی کو دو سو کروڑ بھیجو.,نیدہ عظیمی کو دو سو کروڑ بھیجو.,send_money,send_money
عدنان عزیز کو تین سو روپے بھیجیں۔,عدنان عزیز کو تین سو روپے بھیجیں۔,send_money,send_money
I am sending the money.,I am sending the money.,unknown,send_money
روپندی ٹرانزیکشن ہسٹری,Open the transaction history.,download_statement,download_statement
پے عظیم سلیم,بے عظیم سلیم,unknown,unknown
کامے ہیں۔,یہ کام ہے.,unknown,unknown
Hello.,Hello.,unknown,unknown
مجھے اکاؤنٹ کا سال کا اسٹیٹمنٹ دے دیں۔,مجھے اکاؤنٹ کے سال کی اسٹیٹمنٹ دے دیں۔,download_statement,download_statement
اختیار کو دس روپے بھیجو,اختیار کو دس روپے بھیجو۔,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"Hey, can I transfer 100 Pakistani rupees to Manzoor Ahmad?","Hi, can I transfer 100 Pakistani rupees to Manzoor Ahmed?",send_money,send_money
پے ہمایوں سلیم,پے ہمایوں سلیم,unknown,send_money
علیشہ,Arish,unknown,unknown
تین ہزار روپے۔,One thousand rupees to Markook.,send_money,send_money
Send ten rupees to Papa MCB.,Send ten rupees to Papa MCB.,send_money,send_money
"Hello, how are you?","Hello, how are you?",unknown,unknown
"If there is no speech in the audio, return empty text.",,mobile_topup,
فرحان نقوی کو سو روپے بھیجو,فرحان نقوی کو سو روپے بھیجو.,send_money,send_money
I want to make a payment.,I want to make a payment.,unknown,unknown
"Send one rupees, send hundred rupees.","Send one rupees, send hundred rupees.",send_money,send_money
Money transfers,Money transfer.,unknown,send_money
Send money to Muhammad Abdullah.,Send money to Muhammad Abdullah.,send_money,send_money
Send five thousand rupees to Farzana.,Send five thousand rupees to Farzana.,send_money,send_money
I have still not received my 500 rupees which I requested from someone.,I have still not received my 500 rupees which I requested from someone.,pay_bill,unknown
Send 500 rupees to Laraib.,Send 500 rupees to Laraib.,send_money,send_money
گلاسز شاہ جی,گلاسز شاہ جی.,unknown,unknown
ٹرانسفر,Transfer,unknown,send_money
payment,payment,unknown,unknown
پہ ففٹی ٹو اتر,پے ففٹی ٹو اطہر,unknown,send_money
Send hundred rupees to my EasyPaisa account Harum Basit.,Send 100 rupees to my Easypaisa account Haram Basit.,send_money,send_money
Hello.,Hello.,unknown,unknown
"Hello, how are you?","Hello, how are you?",unknown,unknown
ٹرانسفرمنٹ,Account statement.,unknown,download_statement
Hello,Hello,unknown,unknown
سینٹو غلام حور خان,Send to غلام حور خان.,unknown,send_money
ٹرانسفر فنڈ مکارنٹ کار، روبیل 100 روپے.,Transfer fund Makkar into car Rubial 100 rupees.,send_money,send_money
مجھے چنوں کی دال بنانی ہے۔,مجھے چنے اور ماش کی دال منگنا ہے۔,unknown,unknown
I want to add a UBL account.,I want to add a UBL account.,send_money,unknown
اکاؤنٹ اسٹیٹمنٹ چاہیے.,اکاؤنٹ اسٹیٹمنٹ چاہیے.,download_statement,download_statement
پہ بندے نے۔,پے منٹ کر دیں.,unknown,unknown
Send hundred rupees to Gulrez Khan HBL account.,Send hundred rupees to Ghulrez Khan HBL account.,send_money,send_money
اس کا نام,مصطفی,unknown,unknown
"Statement, bank statement.","Statement, bank statement.",download_statement,download_statement
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,,send_money,
Transfer nineteen thousand to Umar UBL.,Transfer 19000 to Umar UBL.,send_money,send_money
پیمانٹو ملک فراد ادھر,Pay amount to Malik Faraz.,unknown,send_money
Please open the Uta pop.,Please open the UTap app.,unknown,unknown
Send 2000 rupees to Umar Nisar EasyPaisa number.,Send 2000 rupees to Umar Nisar easy paisa number.,send_money,send_money
Pay anyone.,Pay anyone.,pay_bill,unknown
محمد ابراہیم بن عمران کو ایک روپیہ بھیج دو۔,محمد ابراہیم بن عمران کو ایک روپیہ بھیج دو۔,send_money,send_money
پیمین تو محمد نبی,Payment to Muhammad Nabi.,unknown,send_money
"Our voice assistant is new and still learning. It may make mistakes as we keep improving it. Currently, it supports payments only.",Our voice assistant is new and still learning.,pay_bill,unknown
شو بیلنس,شو بیلنس شو,mobile_topup,unknown
احمد واشنگ,Hammad washing.,unknown,unknown
پیر تو علی حسن اکاؤنٹ۔,Pay to Ali Hassan account.,download_statement,send_money
I want to transfer this money.,I want to transfer this money.,send_money,send_money
بیک گراؤنڈ تیمز,Background themes,unknown,unknown
Send Abdul Moiz 2000.,Send Abdul Moiz 2000.,send_money,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
Send money to Shinu. Hundred rupees.,Send money to Shinu 100 rupees.,send_money,send_money
Bill system please.,Bill system please.,pay_bill,unknown
Kindly go to funds transfer,Kindly go to funds transfer.,send_money,send_money
پے شہروز الٹا فٹن روپیز,Pay Shehroz Altaf ten rupees.,send_money,send_money
Pay anyone,Pay anyone.,unknown,unknown
محمد فیض کو ایزی پیسہ میں پیسے ٹرانسفر کرنے ہیں۔ اکاؤنٹ نمبر 0311-888-5988,محمد حفیظ کو ایزی پیسہ میں پیسے ٹرانسفر کرنے ہیں۔ اکاؤنٹ نمبر 0311 8885988.,send_money,send_money
پے ٹرانسفر ٹو مظہر,Pay transfer to Mazhar.,send_money,send_money
بیگم کو پیسے بھیجنے ہیں,بیگم کو پیسے بھیجنے ہیں.,send_money,send_money
